annual_income,interest_rate,employment_length_years,num_delinquencies_2yr,months_since_oldest_account,num_open_accounts,loan_amount,dti_ratio,months_since_last_delinquency,pct_accounts_current,high_earner_low_stability_flag,loan_to_income_ratio,debt_servicing_stress_index,delinquency_concentration,default_flag,data_split,pred_prob
43558.0,12.14,1.8,0,109.0,8,21316.0,0.163,-1.0,92.0,0,0.489370494513063,1.9788200000000002,0.0,0,test,0.10711177883191177
49933.0,15.77,7.6,1,194.0,7,5666.0,0.237,2.0,94.6,0,0.11347205255041756,3.7374899999999998,0.005154639175257732,0,train,0.1127530962417746
107115.0,13.27,9.9,1,284.0,5,25425.0,0.155,54.0,57.7,0,0.23736171404565187,2.05685,0.0035211267605633804,0,train,0.033466279739254055
26703.0,18.08,14.9,0,366.0,8,5681.0,0.345,-1.0,81.7,0,0.2127476313522825,6.237599999999999,0.0,1,train,0.0926658562040148
19957.0,13.39,4.1,0,155.0,13,6887.0,0.194,-1.0,90.0,0,0.3450919476875282,2.5976600000000003,0.0,1,test,0.39535429155212665
28170.0,13.29,3.8,0,222.0,10,4118.0,0.238,-1.0,67.1,0,0.14618388356407525,3.1630199999999995,0.0,1,test,0.12694146479782437
21597.0,10.42,3.4,0,134.0,8,14357.0,0.316,-1.0,92.2,0,0.6647682548502106,3.29272,0.0,0,train,0.1503982476789334
47345.0,11.76,3.4,1,75.0,5,19348.0,0.189,6.0,87.6,0,0.40865983736403,2.22264,0.013333333333333334,0,test,0.3110038696856557
63366.0,11.86,7.9,0,235.0,12,4964.0,0.15,-1.0,82.4,0,0.07833854117349999,1.779,0.0,0,train,0.04561658131865353
50532.0,10.98,4.0,0,200.0,10,10525.0,0.324,-1.0,60.3,0,0.20828385973244676,3.5575200000000002,0.0,0,train,0.07560278627366744
62084.0,11.62,8.6,0,95.0,9,12258.0,0.11,-1.0,76.6,0,0.19744217511758264,1.2782,0.0,0,train,0.06371356791444475
100137.0,12.41,10.5,3,227.0,8,6610.0,0.05,6.0,86.1,0,0.0660095668933561,0.6205,0.013215859030837005,0,test,0.06962700914655232
63842.0,7.67,6.1,0,224.0,10,11942.0,0.183,108.0,79.4,0,0.18705554337270136,1.40361,0.0,0,train,0.032616762959781165
36439.0,10.09,7.9,0,140.0,6,13912.0,0.16,-1.0,68.9,0,0.3817887428304838,1.6144,0.0,0,train,0.07773123213113925
22285.0,17.04,8.9,6,160.0,4,14200.0,0.277,1.0,50.7,0,0.6371999102535337,4.72008,0.0375,0,train,0.6234331777519082
61635.0,11.92,0.0,0,23.0,12,10798.0,0.167,-1.0,85.8,0,0.1751926665044212,1.9906400000000002,0.0,0,train,0.18104111372279272
52489.5,7.87,3.3,0,210.0,7,10082.0,0.274,22.0,88.7,0,0.19207651054020328,2.1563800000000004,0.0,0,train,0.06025082536342367
28943.0,14.24,0.3,0,59.0,8,6593.0,0.189,-1.0,89.7,0,0.22779255778599317,2.69136,0.0,0,test,0.2796361556096584
61359.0,15.82,1.2,2,116.0,6,9769.0,0.402,5.0,83.8,0,0.1592105477599048,6.359640000000001,0.017241379310344827,0,test,0.36307671029445415
20557.0,11.11,6.9,0,128.0,12,10566.0,0.146,-1.0,72.4,0,0.5139855037213601,1.6220599999999998,0.0,0,train,0.19698311802002286
71364.0,16.23,5.7,2,231.0,4,15720.0,0.265,24.0,51.5,0,0.2202791323356314,4.30095,0.008658008658008658,0,train,0.22422827954258615
56526.0,11.15,2.1,0,55.0,8,16526.0,0.091,20.0,83.1,0,0.29236103739871916,1.01465,0.0,0,train,0.1692617630270127
79084.0,13.16,5.9,0,267.0,13,6621.0,0.156,-1.0,87.6,0,0.08372110667138738,2.05296,0.0,0,train,0.09667704634082916
28192.0,12.44,7.9,0,192.0,6,9317.0,0.155,-1.0,92.6,0,0.3304838251986379,1.9282,0.0,0,train,0.07815519521392145
68029.0,11.89,5.1,2,157.0,10,6276.0,0.119,1.0,80.3,0,0.0922547736994517,1.4149100000000001,0.012738853503184714,0,test,0.09955170505869057
43589.0,16.98,11.3,2,184.0,6,6116.0,0.357,17.0,78.0,0,0.14031062882837414,6.06186,0.010869565217391304,1,train,0.20838118120786506
73601.0,11.18,6.7,1,278.0,6,7915.0,0.168,1.0,80.5,0,0.1075392997377753,1.8782400000000001,0.0035971223021582736,0,train,0.031653297068095776
48163.0,12.92,2.0,0,288.0,4,11853.0,0.184,-1.0,95.5,0,0.2461017793742084,2.37728,0.0,0,train,0.11319348610440542
28997.0,15.19,0.0,3,87.0,8,10369.0,0.245,1.0,70.2,0,0.3575887160740766,3.7215499999999997,0.034482758620689655,1,train,0.5479656456698023
59134.0,12.93,6.5,0,186.0,10,7353.0,0.327,-1.0,93.8,0,0.12434470862786215,4.22811,0.0,0,train,0.044857507858734595
76241.0,10.71,14.6,1,192.0,8,6053.0,0.25,14.0,95.0,0,0.07939297753177424,2.6775,0.005208333333333333,0,train,0.03157958771844499
52489.5,8.26,4.7,0,251.0,11,11923.0,0.05,11.0,92.7,0,0.22715019194315053,0.41300000000000003,0.0,0,train,0.05926728827281865
102507.0,9.31,3.5,0,245.0,3,13951.0,0.194,-1.0,91.8,0,0.1360980225740681,1.80614,0.0,0,test,0.03226817366720374
117786.0,6.09,4.8,0,293.0,8,11067.0,0.116,-1.0,76.0,0,0.0939585349702002,0.7064400000000001,0.0,0,train,0.013779477522662398
51040.0,16.03,0.2,4,77.0,7,6798.0,0.238,1.0,82.6,0,0.1331896551724138,3.81514,0.05194805194805195,0,train,0.4992114946747766
52489.5,10.04,11.8,0,140.0,7,11576.0,0.164,25.0,98.4,0,0.22053934596443098,1.64656,0.0,0,train,0.05192397996106837
93252.0,10.34,6.4,2,360.0,7,15468.0,0.171,10.0,57.5,0,0.16587311800283103,1.76814,0.005555555555555556,0,train,0.04240578624120323
51045.0,11.15,7.9,0,365.0,6,6810.0,0.216,-1.0,68.5,0,0.13341169556273877,2.4084,0.0,0,test,0.047734975475674984
49679.0,11.18,0.0,1,131.0,10,7283.0,0.083,8.0,89.2,0,0.14660117957285776,0.92794,0.007633587786259542,0,train,0.20355323168691303
17564.0,13.02,2.2,0,69.0,7,11117.0,0.251,-1.0,87.2,0,0.6329423821452972,3.26802,0.0,0,test,0.3270107784644355
52489.5,11.06,0.1,0,53.0,6,9286.0,0.157,-1.0,83.5,0,0.17691157279074862,1.73642,0.0,0,test,0.18501798998633112
199467.0,9.45,11.5,0,251.0,5,12620.0,0.106,-1.0,96.3,0,0.06326861084790968,1.0016999999999998,0.0,0,test,0.010308367446499805
97035.0,14.84,8.5,1,316.0,12,22239.0,0.255,16.0,89.0,0,0.22918534549389397,3.7842000000000002,0.0031645569620253164,0,train,0.055493370528620585
106329.0,7.39,3.7,0,54.0,4,5243.0,0.143,-1.0,74.1,0,0.049309219497973275,1.0567699999999998,0.0,0,train,0.09359841507179009
18195.0,15.1,0.0,1,218.0,9,8252.0,0.183,15.0,80.4,0,0.4535311898873317,2.7633,0.0045871559633027525,0,train,0.37699211378910913
26430.0,11.96,2.5,0,134.0,11,4634.0,0.267,-1.0,80.7,0,0.17533106318577374,3.1933200000000004,0.0,0,train,0.18916614291449077
29167.0,7.13,8.6,0,127.0,11,7400.0,0.209,-1.0,90.8,0,0.2537113861555868,1.49017,0.0,0,test,0.09228748153191596
17754.0,14.95,5.6,0,49.0,4,4805.0,0.279,-1.0,77.6,0,0.2706432353272502,4.17105,0.0,1,train,0.48604737409806165
111651.0,12.74,12.8,1,171.0,5,15540.0,0.286,58.0,80.5,0,0.13918370637074456,3.6436399999999995,0.005847953216374269,0,train,0.03572446135640946
61610.0,12.6,10.7,4,131.0,8,16949.0,0.312,34.0,48.8,0,0.2751014445706866,3.9312,0.030534351145038167,0,train,0.19613501765142988
50661.0,12.49,2.8,0,134.0,9,11718.0,0.221,-1.0,90.3,0,0.23130218511280867,2.76029,0.0,0,test,0.08508338013469528
62684.0,9.73,1.3,0,132.0,9,8806.0,0.164,53.0,94.4,0,0.14048241975623763,1.59572,0.0,0,test,0.059376088701723624
46548.0,14.72,10.1,0,212.0,8,10042.0,0.094,-1.0,68.3,0,0.2157342957806995,1.38368,0.0,0,train,0.05822326083524922
43301.0,14.44,1.0,2,78.0,0,7615.0,0.11,1.0,80.2,0,0.17586198933050046,1.5884,0.02564102564102564,1,test,0.45786913935832807
52489.5,19.06,0.0,2,307.0,9,19626.0,0.263,41.0,62.0,0,0.3739033520989912,5.01278,0.006514657980456026,0,train,0.22910080713528258
23264.0,18.68,2.0,3,125.0,10,7751.0,0.239,38.0,77.3,0,0.33317572214580465,4.464519999999999,0.024,1,train,0.7176158575836474
91600.0,10.42,10.4,0,218.0,9,17184.0,0.133,-1.0,86.3,0,0.18759825327510918,1.38586,0.0,0,test,0.0210561374957205
89070.0,8.05,1.3,3,174.0,11,12884.0,0.09,50.0,68.0,0,0.14465027506455597,0.7245,0.017241379310344827,0,train,0.11499350771163304
19616.0,19.28,2.0,3,205.0,12,6820.0,0.337,24.0,66.6,0,0.34767536704730834,6.4973600000000005,0.014634146341463415,1,test,0.6625210806640063
44451.0,6.66,11.3,0,214.0,13,28147.0,0.196,-1.0,83.7,0,0.6332141009201143,1.30536,0.0,0,test,0.09687121158871403
48253.0,12.26,7.0,2,172.0,3,27955.0,0.135,1.0,78.5,0,0.579342217064224,1.6551,0.011627906976744186,0,test,0.22588526698385059
62912.0,12.41,9.7,0,285.0,5,9566.0,0.088,-1.0,80.2,0,0.15205366225839267,1.09208,0.0,0,test,0.03125752759626876
12393.0,18.69,2.1,0,111.0,7,9230.0,0.43,78.0,53.3,0,0.7447752763656903,8.0367,0.0,1,test,0.4539169875183731
28999.0,14.9,4.5,1,16.0,7,8827.0,0.305,9.0,94.8,0,0.30438980654505327,4.5445,0.0625,0,train,0.4389899360742616
52489.5,14.09,6.9,2,202.0,16,8265.0,0.096,-1.0,64.2,0,0.15746006344125968,1.35264,0.009900990099009901,1,train,0.3053182226457488
52605.0,11.08,1.8,0,216.0,4,13975.0,0.237,23.0,88.0,0,0.2656591578747267,2.62596,0.0,0,train,0.14378772130820092
57801.0,16.15,2.4,5,113.0,10,6866.0,0.13,1.0,61.5,0,0.11878687219944292,2.0995,0.04424778761061947,0,test,0.3451555523038667
46175.0,12.38,4.5,0,32.0,9,18450.0,0.186,-1.0,73.7,0,0.3995668651867894,2.30268,0.0,0,test,0.12430674399572728
49495.0,12.37,0.0,0,134.0,5,15734.0,0.283,5.0,68.3,0,0.317890696029902,3.5007099999999993,0.0,1,train,0.25556766216130755
71219.0,13.0,4.5,0,54.0,11,6469.0,0.114,-1.0,68.2,0,0.09083250256251843,1.482,0.0,0,test,0.1184411435799579
87082.0,7.44,3.7,0,172.0,4,6531.0,0.147,-1.0,96.2,0,0.0749982774855883,1.09368,0.0,0,train,0.03475312979184234
63468.0,12.94,5.5,0,147.0,7,15045.0,0.228,-1.0,99.6,0,0.23704859141614673,2.95032,0.0,0,train,0.04575141225215857
82814.0,15.36,0.0,2,82.0,4,15794.0,0.302,1.0,85.5,0,0.19071654551162848,4.638719999999999,0.024390243902439025,0,train,0.44199491628984117
52489.5,13.22,0.0,0,225.0,10,11959.0,0.136,-1.0,68.6,0,0.22783604339915603,1.7979200000000002,0.0,0,test,0.11224932225215489
31906.0,9.68,15.1,2,77.0,8,7963.0,0.155,8.0,87.5,0,0.24957688209114273,1.5004,0.025974025974025976,0,test,0.2787123383010896
55554.0,16.74,5.7,2,214.0,9,7496.0,0.293,45.0,77.3,0,0.1349317780897865,4.904819999999999,0.009345794392523364,0,train,0.14861136303572228
27655.0,12.51,8.8,0,140.0,7,7600.0,0.16,1.0,90.0,0,0.2748146808895317,2.0016,0.0,1,test,0.09052381667627478
13961.0,15.49,9.8,2,202.0,4,7352.0,0.231,33.0,73.5,0,0.5266098417018839,3.57819,0.009900990099009901,0,train,0.4898633638123427
63553.0,7.06,2.1,0,256.0,15,14108.0,0.086,-1.0,98.9,0,0.22198794706780167,0.6071599999999999,0.0,0,train,0.08442224060943467
67614.0,10.96,4.7,0,345.0,9,18040.0,0.138,-1.0,93.9,0,0.266808649096341,1.5124800000000003,0.0,0,train,0.02232546601524085
14198.0,13.27,7.1,0,34.0,10,10003.0,0.23,-1.0,87.8,0,0.7045358501197352,3.0521,0.0,0,train,0.29116702889654716
242704.0,5.78,17.7,0,206.0,13,17888.0,0.094,-1.0,95.5,0,0.0737029467993935,0.54332,0.0,0,train,0.029285240369132198
67171.0,12.67,9.1,2,235.0,10,6309.0,0.143,80.0,84.8,0,0.09392446144913727,1.81181,0.00851063829787234,0,test,0.07507619246744927
34269.0,10.47,6.2,0,114.0,20,7449.0,0.2,-1.0,75.3,0,0.21736846712772476,2.0940000000000003,0.0,1,train,0.25454561765731787
45091.0,9.78,4.7,0,108.0,7,11089.0,0.185,-1.0,85.3,0,0.24592490740946088,1.8093,0.0,0,test,0.06880526732384709
39251.0,13.99,8.9,3,313.0,3,5963.0,0.168,1.0,85.8,0,0.15191969631346972,2.35032,0.009584664536741214,0,test,0.15945651664852162
36884.0,6.79,8.3,0,186.0,5,5836.0,0.145,16.0,86.5,0,0.15822578895998266,0.9845499999999999,0.0,1,train,0.06639844683106862
66732.0,5.0,4.7,0,149.0,5,14322.0,0.068,96.0,91.7,0,0.21461967272073368,0.34,0.0,0,train,0.03600054134408916
61964.0,14.06,8.6,0,119.0,13,9528.0,0.295,-1.0,85.1,0,0.15376670324704667,4.1476999999999995,0.0,0,train,0.19594788050507753
57780.0,13.87,5.5,0,168.0,8,8147.0,0.196,-1.0,89.5,0,0.14100034614053306,2.71852,0.0,0,train,0.051771841919401734
37802.0,10.57,0.4,0,76.0,7,15703.0,0.229,-1.0,96.2,0,0.4154013015184382,2.4205300000000003,0.0,0,test,0.15933806132528053
19441.0,14.35,7.9,1,111.0,8,4700.0,0.181,25.0,88.4,0,0.24175711125970886,2.59735,0.009009009009009009,1,train,0.29439929103644485
19523.0,12.44,9.7,0,301.0,8,7062.0,0.398,-1.0,88.4,0,0.3617271935665625,4.95112,0.0,0,train,0.09607263285367036
124803.0,9.15,1.8,2,52.0,9,11614.0,0.094,33.0,55.0,1,0.09305866044886742,0.8601000000000001,0.038461538461538464,0,test,0.21579295151317077
56247.0,13.47,8.7,1,256.0,7,11314.0,0.14,9.0,61.9,0,0.20114850569808168,1.8858000000000004,0.00390625,0,test,0.061978814128262665
95387.0,11.99,6.6,1,175.0,12,23397.0,0.096,8.0,89.9,0,0.24528499690733538,1.15104,0.005714285714285714,0,train,0.05271535317601717
194266.0,10.02,2.8,1,167.0,8,10977.0,0.146,4.0,60.1,1,0.05650499830129822,1.4629199999999998,0.005988023952095809,0,train,0.05219281506415615
17468.0,12.37,4.6,0,95.0,6,5764.0,0.265,-1.0,98.8,0,0.32997481108312343,3.27805,0.0,0,test,0.23316699748794156
145055.0,5.16,1.7,0,146.0,8,9827.0,0.176,-1.0,81.1,1,0.06774671676260728,0.90816,0.0,0,train,0.02897580229018175
83297.0,10.3,6.3,0,130.0,3,18002.0,0.223,-1.0,70.7,0,0.21611822754721058,2.2969000000000004,0.0,0,train,0.06474448988630851
52489.5,19.37,4.4,3,245.0,4,5204.0,0.449,1.0,71.3,0,0.09914363825145982,8.697130000000001,0.012244897959183673,1,train,0.3084091305831937
215232.0,9.32,10.6,2,170.0,5,16116.0,0.13,4.0,80.0,0,0.07487734165923282,1.2116,0.011764705882352941,0,train,0.05961522972134616
35430.0,14.89,9.5,4,153.0,8,7872.0,0.212,1.0,81.5,0,0.22218458933107535,3.15668,0.026143790849673203,0,train,0.21069592105974208
20817.0,13.79,1.7,0,112.0,6,11745.0,0.101,-1.0,80.2,0,0.5642023346303502,1.39279,0.0,1,train,0.3059082294639674
35270.0,12.1,5.0,1,128.0,10,12535.0,0.2,32.0,67.2,0,0.35540119081372273,2.42,0.0078125,0,train,0.1965097159586756
137492.0,10.55,1.7,0,182.0,9,14624.0,0.244,33.0,89.2,1,0.10636255200302563,2.5742000000000003,0.0,0,train,0.04563161454476906
39095.0,16.15,4.1,1,213.0,5,11978.0,0.453,1.0,54.6,0,0.3063818902672976,7.31595,0.004694835680751174,0,train,0.1479310178377331
100670.0,13.89,15.7,0,181.0,7,12573.0,0.237,-1.0,70.2,0,0.12489321545644184,3.29193,0.0,0,test,0.03196367876496651
79125.0,8.26,1.8,0,275.0,13,3984.0,0.143,-1.0,85.9,0,0.05035071090047393,1.18118,0.0,0,train,0.0979977541668831
55496.0,13.06,7.7,2,187.0,8,9435.0,0.272,1.0,57.4,0,0.1700122531353611,3.5523200000000004,0.0106951871657754,0,train,0.08963009030703423
45035.0,9.41,1.2,0,199.0,6,13006.0,0.196,-1.0,81.3,0,0.28879760186521597,1.84436,0.0,1,test,0.07272169861805369
45307.0,12.54,0.0,0,209.0,6,14512.0,0.239,47.0,90.1,0,0.3203037058291213,2.99706,0.0,0,train,0.11689279262924704
18989.0,8.39,0.0,0,178.0,3,11126.0,0.149,86.0,67.0,0,0.5859181631470851,1.25011,0.0,0,train,0.2948210423482751
92299.0,16.92,0.0,5,40.0,10,8096.0,0.194,1.0,69.7,0,0.08771492648891104,3.2824800000000005,0.125,0,train,0.38968761672416014
27868.0,13.12,20.2,3,240.0,9,7377.0,0.167,1.0,85.1,0,0.2647122147265681,2.19104,0.0125,0,train,0.1333049269668482
46425.0,12.87,6.8,0,189.0,11,9747.0,0.208,-1.0,94.6,0,0.20995153473344103,2.67696,0.0,0,train,0.06848999663002626
127679.0,9.1,3.4,0,172.0,10,13192.0,0.112,57.0,87.8,0,0.10332161122815811,1.0191999999999999,0.0,0,train,0.03122262788862475
45659.0,17.62,5.2,2,220.0,6,18593.0,0.317,1.0,71.3,0,0.4072143498543551,5.58554,0.00909090909090909,0,train,0.1790135088287718
56157.0,11.44,0.0,0,89.0,9,17325.0,0.101,-1.0,97.4,0,0.30851006998237085,1.15544,0.0,0,test,0.09781982300988334
1500000.0,12.57,5.8,0,142.0,8,8884.0,0.082,-1.0,79.9,0,0.005922666666666666,1.03074,0.0,0,train,0.030243463804780314
95215.0,9.05,2.5,0,45.0,4,22935.0,0.14,-1.0,99.1,0,0.24087591240875914,1.2670000000000001,0.0,0,train,0.07780620384993929
60557.0,15.45,4.9,0,218.0,8,8697.0,0.423,-1.0,84.0,0,0.1436167577654111,6.535349999999999,0.0,0,train,0.062435738666551166
52489.5,12.55,5.8,0,222.0,8,9943.0,0.177,-1.0,72.5,0,0.18942836186284875,2.22135,0.0,0,train,0.060602486691572595
30369.0,16.44,7.8,1,296.0,12,5006.0,0.304,23.0,53.3,0,0.1648391451809411,4.99776,0.0033783783783783786,1,test,0.2095619984786703
60160.0,10.3,12.9,0,361.0,12,20225.0,0.115,-1.0,91.4,0,0.336186835106383,1.1845,0.0,0,train,0.02535219409517957
58464.0,14.62,2.5,3,122.0,7,8523.0,0.076,7.0,70.6,0,0.1457820197044335,1.1111199999999999,0.02459016393442623,0,train,0.3282523464502264
25084.0,16.61,2.9,1,169.0,6,7741.0,0.295,1.0,67.9,0,0.30860309360548555,4.89995,0.005917159763313609,0,test,0.22166327690549903
58352.0,12.43,0.8,0,111.0,10,21172.0,0.14,-1.0,81.9,0,0.3628324650397587,1.7402000000000002,0.0,0,train,0.10231423333809943
21250.0,15.11,6.2,0,76.0,8,2956.0,0.194,24.0,92.7,0,0.1391058823529412,2.93134,0.0,1,train,0.262134141629377
19661.0,9.43,6.7,0,322.0,13,7054.0,0.262,25.0,89.6,0,0.3587813437770205,2.47066,0.0,0,train,0.26802843184123193
25165.0,15.6,9.0,5,96.0,6,12382.0,0.342,1.0,73.5,0,0.49203258493939994,5.3352,0.052083333333333336,0,train,0.478074422488677
106215.0,8.23,11.8,0,36.0,7,14724.0,0.188,30.0,75.1,0,0.13862448806665725,1.5472400000000002,0.0,0,test,0.04674430326151634
52489.5,11.45,0.1,0,32.0,7,4280.0,0.195,-1.0,63.9,0,0.08154011754731899,2.23275,0.0,1,test,0.1963625552364458
66012.0,11.55,6.7,2,107.0,9,9306.0,0.264,7.0,76.5,0,0.14097436829667334,3.0492000000000004,0.018691588785046728,0,train,0.17497710100580136
52489.5,9.19,4.3,2,202.0,7,7318.0,0.221,30.0,82.4,0,0.1394183598624487,2.03099,0.009900990099009901,0,train,0.11107000545873683
74320.0,14.15,1.5,0,99.0,7,11687.0,0.227,-1.0,96.8,0,0.1572524219590958,3.21205,0.0,0,train,0.09849139094563196
20447.0,18.81,0.0,3,27.0,7,9733.0,0.206,1.0,52.6,0,0.47601115078006556,3.8748599999999995,0.1111111111111111,1,train,0.7640131822686915
52489.5,12.34,0.0,0,92.0,5,6440.0,0.181,-1.0,78.4,0,0.12269120490764819,2.23354,0.0,0,train,0.20189682285231592
31725.0,12.72,14.3,0,237.0,6,9323.0,0.439,-1.0,96.6,0,0.29386918833727343,5.58408,0.0,0,train,0.06564916867359148
197151.0,12.17,6.9,2,193.0,7,9456.0,0.273,26.0,84.3,0,0.047963236301109304,3.32241,0.010362694300518135,0,train,0.06443860907895052
47113.0,10.32,4.9,4,222.0,9,14736.0,0.161,1.0,60.9,0,0.31277991212616474,1.66152,0.018018018018018018,0,test,0.11329869224295006
37773.0,14.38,10.5,2,233.0,0,9535.0,0.201,44.0,74.5,0,0.25242898366558125,2.8903800000000004,0.008583690987124463,0,test,0.1985250411571346
42931.0,12.04,2.7,0,241.0,8,10257.0,0.349,21.0,83.4,0,0.23891826419137685,4.20196,0.0,0,train,0.08564026937340094
46113.0,10.82,16.1,0,343.0,6,9254.0,0.127,-1.0,91.8,0,0.2006809359616594,1.3741400000000001,0.0,0,train,0.02654482124703969
60666.0,14.15,2.9,0,275.0,5,5078.0,0.199,-1.0,59.5,0,0.08370421652985198,2.81585,0.0,0,test,0.06582711176783429
36137.0,8.73,3.8,1,209.0,13,5549.0,0.29,15.0,82.7,0,0.15355452859949636,2.5317,0.004784688995215311,0,test,0.26123777050775754
81676.0,12.53,2.2,0,120.0,10,13404.0,0.22,-1.0,88.8,0,0.1641118566041432,2.7565999999999997,0.0,0,train,0.08436027078567279
